mpg,cylinders,displacement,horsepower,weight,acceleration,brand
0,28.0,4,140.0,90.0,2264.0,15.5,chevrolet
1,25.0,4,113.0,95.0,2228.0,14.0,toyota
2,25.0,4,98.0,,2046.0,19.0,ford
3,19.0,6,232.0,100.0,2634.0,13.0,amc
4,16.0,6,225.0,105.0,3439.0,15.5,plymouth
5,17.0,6,250.0,100.0,3329.0,15.5,chevrolet
6,19.0,6,250.0,88.0,3302.0,15.5,ford
7,18.0,6,232.0,100.0,3288.0,15.5,amc
8,14.0,8,350.0,165.0,4209.0,12.0,chevrolet
9,14.0,8,400.0,175.0,4464.0,11.5,pontiac
10,14.0,8,351.0,153.0,4154.0,13.5,ford
11,14.0,8,318.0,150.0,4096.0,13.0,plymouth
12,12.0,8,383.0,180.0,4955.0,11.5,dodge
13,13.0,8,400.0,170.0,4746.0,12.0,ford
14,13.0,8,400.0,175.0,5140.0,12.0,pontiac
15,18.0,6,258.0,110.0,2962.0,13.5,amc
16,22.0,4,140.0,72.0,2408.0,19.0,chevrolet
17,19.0,6,250.0,100.0,3282.0,15.0,pontiac
18,18.0,6,250.0,88.0,3139.0,14.5,ford
